zone,yieldpotential,totalnrate_lbsac,pp_totalnrate_adj_lbsac,is_totalnrate_lbsac,uanrate_galac
high,201.4572963654807,241.74875563857682,72.52462669157305,169.2,56.4
low,201.12965720756333,241.35558864907597,72.40667659472278,168.9,56.3
